Date,CO2,Time
1/10/1982,0.13,754
1/11/1982,0.15,755
1/12/1982,0.43,756
1/1/1983,0.52,757
1/2/1983,0.41,758
1/3/1983,0.43,759
1/4/1983,0.31,760
1/5/1983,0.36,761
1/6/1983,0.2,762
1/7/1983,0.18,763
1/8/1983,0.33,764
1/9/1983,0.39,765
1/10/1983,0.16,766
1/11/1983,0.32,767
1/12/1983,0.17,768
1/1/1984,0.3,769
1/2/1984,0.17,770
1/3/1984,0.29,771
1/4/1984,0.08,772
1/5/1984,0.33,773
1/6/1984,0.05,774
1/7/1984,0.17,775
1/8/1984,0.16,776
1/9/1984,0.21,777
1/10/1984,0.16,778
1/11/1984,0.06,779
1/12/1984,-0.05,780
1/1/1985,0.22,781
1/2/1985,-0.06,782
1/3/1985,0.17,783
1/4/1985,0.11,784
1/5/1985,0.17,785
1/6/1985,0.18,786
1/7/1985,-0.01,787
1/8/1985,0.15,788
1/9/1985,0.15,789
1/10/1985,0.11,790
1/11/1985,0.08,791
1/12/1985,0.15,792
1/1/1986,0.28,793
1/2/1986,0.39,794
1/3/1986,0.27,795
1/4/1986,0.24,796
1/5/1986,0.24,797
1/6/1986,0.11,798
1/7/1986,0.11,799
1/8/1986,0.12,800
1/9/1986,0,801
1/10/1986,0.13,802
1/11/1986,0.11,803
1/12/1986,0.16,804
1/1/1987,0.36,805
1/2/1987,0.46,806
1/3/1987,0.16,807
1/4/1987,0.22,808
1/5/1987,0.25,809
1/6/1987,0.37,810
1/7/1987,0.45,811
1/8/1987,0.28,812
1/9/1987,0.39,813
1/10/1987,0.32,814
1/11/1987,0.25,815
1/12/1987,0.48,816
1/1/1988,0.58,817
1/2/1988,0.43,818
1/3/1988,0.51,819
1/4/1988,0.45,820
1/5/1988,0.43,821
1/6/1988,0.43,822
1/7/1988,0.34,823
1/8/1988,0.47,824
1/9/1988,0.41,825
1/10/1988,0.39,826
1/11/1988,0.12,827
1/12/1988,0.33,828
1/1/1989,0.15,829
1/2/1989,0.35,830
1/3/1989,0.36,831
1/4/1989,0.33,832
1/5/1989,0.16,833
1/6/1989,0.14,834
1/7/1989,0.34,835
1/8/1989,0.37,836
1/9/1989,0.37,837
1/10/1989,0.32,838
1/11/1989,0.2,839
1/12/1989,0.38,840
1/1/1990,0.41,841
1/2/1990,0.41,842
1/3/1990,0.77,843
1/4/1990,0.55,844
1/5/1990,0.46,845
1/6/1990,0.38,846
1/7/1990,0.43,847
1/8/1990,0.31,848
1/9/1990,0.29,849
1/10/1990,0.41,850
1/11/1990,0.46,851
1/12/1990,0.41,852
1/1/1991,0.41,853
1/2/1991,0.49,854
1/3/1991,0.35,855
1/4/1991,0.52,856
1/5/1991,0.38,857
1/6/1991,0.53,858
1/7/1991,0.48,859
1/8/1991,0.4,860
1/9/1991,0.48,861
1/10/1991,0.3,862
1/11/1991,0.31,863
1/12/1991,0.32,864
1/1/1992,0.44,865
1/2/1992,0.42,866
1/3/1992,0.48,867
1/4/1992,0.24,868
1/5/1992,0.32,869
1/6/1992,0.25,870
1/7/1992,0.12,871
1/8/1992,0.07,872
1/9/1992,0,873
1/10/1992,0.09,874
1/11/1992,0.03,875
1/12/1992,0.22,876
1/1/1993,0.37,877
1/2/1993,0.39,878
1/3/1993,0.36,879
1/4/1993,0.27,880
1/5/1993,0.27,881
1/6/1993,0.25,882
1/7/1993,0.28,883
1/8/1993,0.13,884
1/9/1993,0.1,885
1/10/1993,0.22,886
1/11/1993,0.06,887
1/12/1993,0.16,888
1/1/1994,0.27,889
1/2/1994,0.02,890
1/3/1994,0.27,891
1/4/1994,0.4,892
1/5/1994,0.28,893
1/6/1994,0.42,894
1/7/1994,0.3,895
1/8/1994,0.21,896
1/9/1994,0.29,897
1/10/1994,0.41,898
1/11/1994,0.46,899
1/12/1994,0.36,900
1/1/1995,0.51,901
1/2/1995,0.78,902
1/3/1995,0.45,903
1/4/1995,0.47,904
1/5/1995,0.26,905
1/6/1995,0.41,906
1/7/1995,0.48,907
1/8/1995,0.46,908
1/9/1995,0.32,909
1/10/1995,0.47,910
1/11/1995,0.45,911
1/12/1995,0.28,912
1/1/1996,0.25,913
1/2/1996,0.48,914
1/3/1996,0.32,915
1/4/1996,0.36,916
1/5/1996,0.27,917
1/6/1996,0.25,918
1/7/1996,0.35,919
1/8/1996,0.49,920
1/9/1996,0.25,921
1/10/1996,0.19,922
1/11/1996,0.41,923
1/12/1996,0.4,924
1/1/1997,0.31,925
1/2/1997,0.38,926
1/3/1997,0.53,927
1/4/1997,0.36,928
1/5/1997,0.36,929
1/6/1997,0.53,930
1/7/1997,0.35,931
1/8/1997,0.41,932
1/9/1997,0.53,933
1/10/1997,0.62,934
1/11/1997,0.65,935
1/12/1997,0.59,936
1/1/1998,0.6,937
1/2/1998,0.9,938
1/3/1998,0.63,939
1/4/1998,0.63,940
1/5/1998,0.69,941
1/6/1998,0.77,942
1/7/1998,0.68,943
1/8/1998,0.66,944
