Date,CO2
1/3/2006,0.62
1/4/2006,0.5
1/5/2006,0.46
1/6/2006,0.64
1/7/2006,0.52
1/8/2006,0.7
1/9/2006,0.61
1/10/2006,0.67
1/11/2006,0.7
1/12/2006,0.73
1/1/2007,0.95
1/2/2007,0.7
1/3/2007,0.69
1/4/2007,0.73
1/5/2007,0.66
1/6/2007,0.59
1/7/2007,0.6
1/8/2007,0.57
1/9/2007,0.59
1/10/2007,0.57
1/11/2007,0.54
1/12/2007,0.46
1/1/2008,0.23
1/2/2008,0.34
1/3/2008,0.73
1/4/2008,0.51
1/5/2008,0.47
1/6/2008,0.46
1/7/2008,0.59
1/8/2008,0.44
1/9/2008,0.62
1/10/2008,0.63
1/11/2008,0.64
1/12/2008,0.53
1/1/2009,0.61
1/2/2009,0.51
1/3/2009,0.52
1/4/2009,0.58
1/5/2009,0.64
1/6/2009,0.65
1/7/2009,0.69
1/8/2009,0.66
1/9/2009,0.68
1/10/2009,0.63
1/11/2009,0.76
1/12/2009,0.65
1/1/2010,0.73
1/2/2010,0.79
1/3/2010,0.91
1/4/2010,0.85
1/5/2010,0.73
1/6/2010,0.62
1/7/2010,0.59
1/8/2010,0.63
1/9/2010,0.59
1/10/2010,0.69
1/11/2010,0.77
1/12/2010,0.46
1/1/2011,0.48
1/2/2011,0.51
1/3/2011,0.62
1/4/2011,0.62
1/5/2011,0.51
1/6/2011,0.57
1/7/2011,0.71
1/8/2011,0.71
1/9/2011,0.54
1/10/2011,0.63
1/11/2011,0.56
1/12/2011,0.53
1/1/2012,0.45
1/2/2012,0.48
1/3/2012,0.56
1/4/2012,0.68
1/5/2012,0.75
1/6/2012,0.63
1/7/2012,0.53
1/8/2012,0.62
1/9/2012,0.72
1/10/2012,0.74
1/11/2012,0.73
1/12/2012,0.52
1/1/2013,0.67
1/2/2013,0.56
1/3/2013,0.65
1/4/2013,0.53
1/5/2013,0.58
1/6/2013,0.66
1/7/2013,0.57
1/8/2013,0.66
1/9/2013,0.78
1/10/2013,0.67
1/11/2013,0.78
1/12/2013,0.65
1/1/2014,0.73
1/2/2014,0.52
1/3/2014,0.76
1/4/2014,0.77
1/5/2014,0.85
1/6/2014,0.66
1/7/2014,0.56
1/8/2014,0.81
1/9/2014,0.88
1/10/2014,0.81
1/11/2014,0.66
1/12/2014,0.77
1/1/2015,0.81
1/2/2015,0.87
1/3/2015,0.9
1/4/2015,0.75
1/5/2015,0.75
1/6/2015,0.79
1/7/2015,0.71
1/8/2015,0.79
1/9/2015,0.82
1/10/2015,1.07
1/11/2015,1.03
1/12/2015,1.1
1/1/2016,1.15
1/2/2016,1.35
1/3/2016,1.31
1/4/2016,1.07
1/5/2016,0.91
1/6/2016,0.77
1/7/2016,0.82
1/8/2016,1
1/9/2016,0.88
1/10/2016,0.9
1/11/2016,0.91
1/12/2016,0.83
1/1/2017,0.98
1/2/2017,1.13
1/3/2017,1.13
1/4/2017,0.92
1/5/2017,0.89
1/6/2017,0.7
1/7/2017,0.82
1/8/2017,0.87
1/9/2017,0.76
1/10/2017,0.88
1/11/2017,0.86
1/12/2017,0.89
1/1/2018,0.77
1/2/2018,0.85
1/3/2018,0.91
1/4/2018,0.87
1/5/2018,0.81
1/6/2018,0.74
1/7/2018,0.78
1/8/2018,0.73
1/9/2018,0.76
1/10/2018,0.99
1/11/2018,0.78
1/12/2018,0.89
1/1/2019,0.87
1/2/2019,0.92
1/3/2019,1.11
1/4/2019,0.97
1/5/2019,0.85
1/6/2019,0.86
1/7/2019,0.9
1/8/2019,0
1/9/2019,0
1/10/2019,0
1/11/2019,0
1/12/2019,0
